over_pen,half_dmg,no_pen,hit_torp,ricochet,citadel,damage,win
17,17,4,1,13,1,114977,1
14,13,1,6,4,1,76763,0
19,28,2,6,12,2,108624,1
13,39,2,6,13,0,147595,1
17,19,1,3,10,4,141698,1
7,15,2,0,9,0,67187,0
5,8,0,5,9,0,36870,1
21,24,3,6,21,4,156658,1
9,23,4,0,21,0,92636,0
9,12,0,0,14,0,56891,1
10,16,3,3,4,4,105554,1
11,15,2,3,6,2,74572,0
7,23,5,0,3,0,89300,0
1,11,0,0,4,4,75310,1
12,15,2,3,7,3,99478,0
8,3,1,0,5,0,22620,0
16,18,2,1,6,6,155335,1
7,17,1,5,6,0,63366,0
37,9,2,0,7,0,93495,1
1,26,11,0,11,0,68329,0
9,24,4,3,7,1,119519,0
9,19,1,0,5,3,110193,1
12,18,3,3,3,1,94272,0
18,17,1,5,9,2,111102,0
2,10,1,0,5,1,43900,0
15,33,6,0,14,1,141643,1
20,25,7,2,14,2,147439,1
7,19,3,5,6,0,79163,1
12,23,0,1,6,0,102429,0
19,26,2,4,6,1,114200,0
11,8,1,0,5,0,48205,0
9,15,5,0,12,0,64694,1
4,20,1,2,3,0,52839,0
19,19,2,3,11,0,99216,0
13,23,1,1,5,0,82741,0
3,20,8,1,12,0,57045,0
6,14,2,0,4,0,62041,0
9,20,3,0,11,0,67636,1
6,36,7,0,6,2,111693,0
4,21,5,0,2,0,70300,0
11,20,6,1,7,0,68554,0
10,16,1,4,4,4,119578,1
14,33,6,1,10,3,175824,0
7,21,4,1,11,0,92042,0
6,15,0,3,11,4,109864,1
7,22,1,0,5,1,70758,0
10,17,1,1,8,0,67176,0
6,10,0,1,7,0,44507,0
9,7,0,0,4,0,32723,0
10,16,1,3,21,0,71084,1
7,27,5,4,8,3,108253,0
0,18,3,0,0,0,47881,0
8,52,3,3,18,0,131556,1
6,17,1,5,8,1,72992,1
9,15,1,3,7,1,89085,0
11,12,1,0,5,0,64794,0
12,30,1,3,6,0,120927,0
16,21,0,3,6,2,113406,1
14,16,0,1,7,1,80172,1
4,13,4,1,9,1,63305,1
22,26,5,3,14,1,137110,1
2,25,2,0,1,0,72192,1
